"동별(1)","동별(2)",항목,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 3/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4
"성동구","성수1가1동",등록외국인,8,5,1,-,-,8,5,1,-,-
"성동구","성수1가2동",계,926,556,399,305,158,934,575,421,300,166
"성동구","성수1가2동",한국인,924,555,399,305,158,932,574,421,300,166
"성동구","성수1가2동",등록외국인,2,1,-,-,-,2,1,-,-,-
"성동구","성수2가1동",계,1283,822,495,386,182,1310,832,513,372,186
"성동구","성수2가1동",한국인,1261,814,490,386,182,1289,824,508,372,186
"성동구","성수2가1동",등록외국인,22,8,5,-,-,21,8,5,-,-
"성동구","성수2가3동",계,668,468,366,268,167,681,460,369,271,167
"성동구","성수2가3동",한국인,665,463,366,268,167,678,455,369,271,167
"성동구","성수2가3동",등록외국인,3,5,-,-,-,3,5,-,-,-
"성동구","송정동",계,813,488,362,228,117,798,497,366,227,116
"성동구","송정동",한국인,800,480,359,227,117,787,490,363,226,116
"성동구","송정동",등록외국인,13,8,3,1,-,11,7,3,1,-
"성동구","용답동",계,816,550,457,385,196,814,557,469,371,202
"성동구","용답동",한국인,799,537,456,384,195,797,544,468,370,201
"성동구","용답동",등록외국인,17,13,1,1,1,17,13,1,1,1
"광진구","소계",계,22354,15253,10992,7763,4086,22447,15542,11180,7649,4120
"광진구","소계",한국인,22045,15131,10965,7755,4076,22148,15422,11156,7642,4110
"광진구","소계",등록외국인,309,122,27,8,10,299,120,24,7,10
"광진구","화양동",계,777,648,499,337,199,769,672,489,343,193
"광진구","화양동",한국인,758,637,497,337,199,753,662,487,343,193
"광진구","화양동",등록외국인,19,11,2,-,-,16,10,2,-,-
"광진구","군자동",계,1243,835,656,516,230,1232,847,670,496,232
"광진구","군자동",한국인,1234,824,655,515,230,1222,838,669,496,232
"광진구","군자동",등록외국인,9,11,1,1,-,10,9,1,-,-
"광진구","중곡1동",계,1061,693,536,399,200,1086,703,542,398,194
"광진구","중곡1동",한국인,1046,690,536,399,198,1070,700,542,398,192
"광진구","중곡1동",등록외국인,15,3,-,-,2,16,3,-,-,2
"광진구","중곡2동",계,1454,1006,743,490,226,1477,1028,765,490,231
"광진구","중곡2동",한국인,1442,1001,743,489,226,1466,1023,765,489,231
"광진구","중곡2동",등록외국인,12,5,-,1,-,11,5,-,1,-
"광진구","중곡3동",계,1263,830,635,452,216,1277,841,653,434,229
"광진구","중곡3동",한국인,1255,827,635,452,216,1270,838,653,434,229
"광진구","중곡3동",등록외국인,8,3,-,-,-,7,3,-,-,-
"광진구","중곡4동",계,2371,1582,1151,802,348,2392,1612,1166,792,359
"광진구","중곡4동",한국인,2360,1580,1150,802,348,2381,1610,1165,792,359
"광진구","중곡4동",등록외국인,11,2,1,-,-,11,2,1,-,-
"광진구","능동",계,623,454,364,249,136,628,461,378,249,135
"광진구","능동",한국인,618,452,364,249,136,624,459,378,249,135
"광진구","능동",등록외국인,5,2,-,-,-,4,2,-,-,-
"광진구","광장동",계,1634,1124,664,541,360,1630,1129,694,530,358
"광진구","광장동",한국인,1632,1121,663,541,360,1629,1126,693,530,358
"광진구","광장동",등록외국인,2,3,1,-,-,1,3,1,-,-
"광진구","자양1동",계,1477,988,749,565,298,1493,1030,741,546,296
"광진구","자양1동",한국인,1441,977,746,564,294,1457,1018,738,545,292
"광진구","자양1동",등록외국인,36,11,3,1,4,36,12,3,1,4
"광진구","자양2동",계,1813,1317,795,585,265,1821,1339,819,579,263
"광진구","자양2동",한국인,1797,1313,793,585,265,1806,1335,817,579,263
"광진구","자양2동",등록외국인,16,4,2,-,-,15,4,2,-,-
"광진구","자양3동",계,1891,1261,827,597,373,1888,1268,838,593,366
"광진구","자양3동",한국인,1877,1255,826,596,372,1874,1262,837,592,365
"광진구","자양3동",등록외국인,14,6,1,1,1,14,6,1,1,1
"광진구","자양4동",계,1676,1150,840,532,282,1660,1180,852,517,291
"광진구","자양4동",한국인,1545,1104,831,530,281,1532,1134,845,515,290
"광진구","자양4동",등록외국인,131,46,9,2,1,128,46,7,2,1
"광진구","구의1동",계,1385,885,715,477,264,1399,898,719,473,273
"광진구","구의1동",한국인,1367,878,710,476,264,1382,891,714,472,273
"광진구","구의1동",등록외국인,18,7,5,1,-,17,7,5,1,-
"광진구","구의2동",계,1832,1256,989,620,364,1846,1281,1003,620,364
"광진구","구의2동",한국인,1821,1253,988,619,362,1835,1278,1003,619,362
"광진구","구의2동",등록외국인,11,3,1,1,2,11,3,-,1,2
"광진구","구의3동",계,1854,1224,829,601,325,1849,1253,851,589,336
"광진구","구의3동",한국인,1852,1219,828,601,325,1847,1248,850,589,336
"광진구","구의3동",등록외국인,2,5,1,-,-,2,5,1,-,-
"동대문구","소계",계,24099,17512,13233,9960,5146,24354,17787,13396,9878,5207
"동대문구","소계",한국인,23937,17441,13205,9952,5134,24191,17715,13369,9870,5195
"동대문구","소계",등록외국인,162,71,28,8,12,163,72,27,8,12
"동대문구","용신동",계,40,14,7,2,3,40,14,6,1,3
"동대문구","용신동",한국인,-,-,-,-,-,-,-,-,-,-
"동대문구","용신동",등록외국인,40,14,7,2,3,40,14,6,1,3
"동대문구","신설동",계,924,617,438,334,182,935,631,436,338,183
"동대문구","신설동",한국인,924,617,438,334,182,935,631,436,338,183
"동대문구","신설동",등록외국인,-,-,-,-,-,-,-,-,-,-
"동대문구","용두동",계,1525,1094,861,645,374,1539,1114,872,642,368
"동대문구","용두동",한국인,1525,1094,861,645,374,1539,1114,872,642,368
"동대문구","용두동",등록외국인,-,-,-,-,-,-,-,-,-,-
"동대문구","제기동",계,1875,1380,1161,850,492,1850,1372,1144,836,493
"동대문구","제기동",한국인,1858,1373,1158,850,492,1832,1366,1141,836,493
"동대문구","제기동",등록외국인,17,7,3,-,-,18,6,3,-,-
"동대문구","전농1동",계,2257,1610,1190,912,480,2274,1618,1211,897,486
"동대문구","전농1동",한국인,2233,1603,1185,911,478,2250,1611,1206,896,484
"동대문구","전농1동",등록외국인,24,7,5,1,2,24,7,5,1,2
"동대문구","전농2동",계,1407,1023,740,614,337,1410,1043,741,592,337
"동대문구","전농2동",한국인,1404,1021,740,614,337,1406,1041,741,592,337
"동대문구","전농2동",등록외국인,3,2,-,-,-,4,2,-,-,-
"동대문구","답십리1동",계,1675,1080,882,633,317,1709,1102,882,617,321
"동대문구","답십리1동",한국인,1666,1076,880,633,316,1700,1098,880,617,320
"동대문구","답십리1동",등록외국인,9,4,2,-,1,9,4,2,-,1
"동대문구","답십리2동",계,2168,1619,1158,918,458,2162,1640,1184,903,467
"동대문구","답십리2동",한국인,2165,1618,1158,918,458,2159,1639,1184,903,467
"동대문구","답십리2동",등록외국인,3,1,-,-,-,3,1,-,-,-
"동대문구","장안1동",계,2821,2077,1451,980,420,2863,2075,1469,969,438
"동대문구","장안1동",한국인,2808,2068,1449,980,418,2850,2066,1467,969,436
"동대문구","장안1동",등록외국인,13,9,2,-,2,13,9,2,-,2
"동대문구","장안2동",계,2305,1624,1165,775,326,2316,1651,1170,775,334
"동대문구","장안2동",한국인,2299,1622,1164,775,326,2311,1649,1169,775,334
"동대문구","장안2동",등록외국인,6,2,1,-,-,5,2,1,-,-
"동대문구","청량리동",계,1965,1467,1073,858,438,1968,1504,1099,852,434
"동대문구","청량리동",한국인,1949,1456,1071,857,437,1953,1492,1097,850,433
"동대문구","청량리동",등록외국인,16,11,2,1,1,15,12,2,2,1
"동대문구","회기동",계,435,370,299,265,154,445,369,304,259,154
"동대문구","회기동",한국인,431,369,298,264,153,441,368,303,258,153
"동대문구","회기동",등록외국인,4,1,1,1,1,4,1,1,1,1
