연도,자치구,동,은행수
2007,중랑구,신내2동,6.0
2007,성북구,소계,73.0
2007,성북구,성북동,3.0
2007,성북구,삼선동,10.0
2007,성북구,동선동,3.0
2007,성북구,돈암1동,6.0
2007,성북구,안암동,5.0
2007,성북구,보문동,5.0
2007,성북구,정릉1동,1.0
2007,성북구,정릉2동,3.0
2007,성북구,정릉4동,3.0
2007,성북구,길음1동,6.0
2007,성북구,길음3동,5.0
2007,성북구,종암동,4.0
2007,성북구,월곡1동,3.0
2007,성북구,월곡2동,5.0
2007,성북구,장위1동,4.0
2007,성북구,장위2동,2.0
2007,성북구,석관동,5.0
2007,강북구,소계,42.0
2007,강북구,미아1동,3.0
2007,강북구,미아3동,2.0
2007,강북구,미아4동,4.0
2007,강북구,미아5동,1.0
2007,강북구,미아6.7동,4.0
2007,강북구,미아8동,3.0
2007,강북구,번1동,5.0
2007,강북구,번3동,2.0
2007,강북구,수유1동,5.0
2007,강북구,수유2동,4.0
2007,강북구,수유3동,9.0
2007,도봉구,소계,38.0
2007,도봉구,창1동,6.0
2007,도봉구,창2동,1.0
2007,도봉구,창4동,3.0
2007,도봉구,창5동,7.0
2007,도봉구,도봉1동,2.0
2007,도봉구,도봉2동,1.0
2007,도봉구,쌍문1동,3.0
2007,도봉구,쌍문3동,1.0
2007,도봉구,쌍문4동,2.0
2007,도봉구,방학1동,8.0
2007,도봉구,방학3동,4.0
2007,노원구,소계,75.0
2007,노원구,월계1동,3.0
2007,노원구,월계3동,3.0
2007,노원구,월계4동,1.0
2007,노원구,공릉2동,9.0
2007,노원구,공릉1.3동,2.0
2007,노원구,하계1동,7.0
2007,노원구,하계2동,4.0
2007,노원구,중계본동,1.0
2007,노원구,중계1동,3.0
2007,노원구,중계2동,6.0
2007,노원구,중계3동,3.0
2007,노원구,중계4동,1.0
2007,노원구,상계1동,2.0
2007,노원구,상계2동,2.0
2007,노원구,상계3.4동,3.0
2007,노원구,상계5동,2.0
2007,노원구,상계6.7동,1.0
