acdnt_no,serial_no,acdnt_year,acdnt_dd_dc,dfk_dc,tmzon_div_1_dc,occrrnc_time_dc,x_crdnt,y_crdnt,legaldong_code,legaldong_name,acdnt_hdc,acdnt_dc,road_stle_dc,acdnt_gae_dc,acdnt_age_2_dc,dmge_vhcle_asort_dc,injury_dgree_2_dc,wrngdo_vhcle_asort_dc,lrg_violt_1_dc,wether_sttus_dc,rdse_sttus_dc,dprs_cnt,sep_cnt,slp_cnt,lat,lon
2024011400100082,2024006150,2024,2024년  1월,일요일,주간,11시,964276.0,1945271.0,1171010600,서울특별시 송파구,차대사람,차대사람 - 기타,단일로 - 기타,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.5060207490837,127.0958053915341
2024011400100178,2024006241,2024,2024년  1월,일요일,주간,15시,942870.0,1951520.0,1150010200,서울특별시 강서구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,경상사고,65세 이상,보행자,경상,승용,보행자보호의무위반,흐림, 젖음/습기,0,0,1,37.56126626318404,126.85313513645131
2024011400100303,2024006355,2024,2024년  1월,일요일,야간,22시,957733.0,1949858.0,1120011200,서울특별시 성동구,차대사람,차대사람 - 기타,단일로 - 기타,중상사고,65세 이상,보행자,중상,승합,안전운전불이행,맑음, 건조,0,1,0,37.54708830492999,127.02151363412084
2024011500100015,2024006382,2024,2024년  1월,월요일,주간,06시,958504.0,1957095.0,1130510100,서울특별시 강북구,차대사람,차대사람 - 횡단중,단일로 - 기타,중상사고,65세 이상,보행자,중상,승합,안전운전불이행,맑음, 건조,0,1,0,37.612352172882275,127.0298315154985
2024011500100036,2024006402,2024,2024년  1월,월요일,주간,07시,946558.0,1941664.0,1154510200,서울특별시 금천구,차대사람,차대사람 - 횡단중,교차로 - 교차로안,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.47265418160822,126.89560788135927
2024011500100093,2024006455,2024,2024년  1월,월요일,주간,09시,957805.0,1954208.0,1129012200,서울특별시 성북구,차대사람,차대사람 - 기타,교차로 - 교차로횡단보도내,경상사고,65세 이상,보행자,경상,화물,안전운전불이행,맑음, 건조,0,0,1,37.586299244310744,127.02207825504271
2024011500100153,2024006512,2024,2024년  1월,월요일,주간,11시,963239.0,1943732.0,1168011400,서울특별시 강남구,차대사람,차대사람 - 기타,기타 - 기타,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.492108350730526,127.08414960128829
2024011500100253,2024006605,2024,2024년  1월,월요일,주간,14시,955738.0,1953851.0,1111017100,서울특별시 종로구,차대사람,차대사람 - 기타,단일로 - 기타,중상사고,65세 이상,보행자,중상,승합,안전운전불이행,맑음, 건조,0,1,0,37.58298442339369,126.99868875663908
2024011500100279,2024006630,2024,2024년  1월,월요일,주간,15시,949432.0,1942410.0,1162010200,서울특별시 관악구,차대사람,차대사람 - 기타,교차로 - 교차로횡단보도내,중상사고,65세 이상,보행자,중상,승합,안전운전불이행,맑음, 건조,0,1,0,37.47953984629798,126.92805807265117
2024011500100384,2024006731,2024,2024년  1월,월요일,야간,18시,942799.0,1947088.0,1147010100,서울특별시 양천구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,중상사고,65세 이상,보행자,중상,개인형이동수단(PM),보행자보호의무위반,맑음, 건조,0,1,0,37.5213161227702,126.85267673124737
2024011500100442,2024006785,2024,2024년  1월,월요일,야간,19시,949240.0,1955893.0,1138010700,서울특별시 은평구,차대사람,차대사람 - 횡단중,교차로 - 교차로안,경상사고,65세 이상,보행자,경상,승용,안전운전불이행,맑음, 건조,0,0,1,37.601053624668644,126.92495401327282
2024011600100036,2024006910,2024,2024년  1월,화요일,주간,06시,947221.0,1938862.0,1154510300,서울특별시 금천구,차대사람,차대사람 - 기타,교차로 - 교차로횡단보도내,경상사고,65세 이상,보행자,경상,이륜,신호위반,맑음, 건조,0,0,1,37.447437203659966,126.90330629389439
2024011600100052,2024006925,2024,2024년  1월,화요일,주간,07시,954938.0,1952440.0,1111015600,서울특별시 종로구,차대사람,차대사람 - 차도통행중,단일로 - 기타,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.57022798354334,126.9897150805859
2024011600100055,2024006928,2024,2024년  1월,화요일,주간,07시,960444.0,1956641.0,1129013700,서울특별시 성북구,차대사람,차대사람 - 차도통행중,교차로 - 교차로부근,중상사고,65세 이상,보행자,중상,승합,안전운전불이행,맑음, 건조,0,1,0,37.60834569759666,127.05183651855066
2024011600100173,2024007043,2024,2024년  1월,화요일,주간,11시,947096.0,1939410.0,1154510300,서울특별시 금천구,차대사람,차대사람 - 기타,단일로 - 기타,부상신고사고,65세 이상,보행자,부상신고,화물,안전운전불이행,맑음, 건조,0,0,0,37.45236932219186,126.90185384708111
